t, E, sx, sy, vx, vy, ax, ay
0.001, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.002, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.003, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.004, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.0050000004, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.0060000005, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.0070000007, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.008, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.009000001, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.010000001, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.011000001, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.012000001, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.013000001, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.014000001, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.0150000015, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.016, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.017, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.018000001, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.019000001, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.020000001, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.021000002, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.022000002, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.023000002, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.024000002, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.025000002, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.026000002, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.027000003, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.028000003, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.029000003, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.030000003, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.031000003, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.032, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.033, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.033999998, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.034999996, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.035999995, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
