t, n, Tsim
0.1, 0,0.0
0.2, 0,0.0
0.3, 0,0.0
0.4, 0,0.0
0.5, 0,0.0
0.6, 0,0.0
0.70000005, 0,0.0
0.8000001, 0,0.0
0.9000001, 0,0.0
1.0000001, 0,0.0
1.1000001, 0,0.0
1.2000002, 0,0.0
1.3000002, 0,0.0
1.4000002, 0,0.0
1.5000002, 0,0.0
1.6000003, 0,0.0
1.7000003, 0,0.0
1.8000003, 0,0.0
1.9000003, 0,0.0
2.0000002, 0,0.0
2.1000001, 0,0.0
2.2, 0,0.0
2.3, 0,0.0
2.3999999, 0,0.0
2.4999998, 0,0.0
2.5999997, 0,0.0
2.6999996, 0,0.0
2.7999995, 0,0.0
2.8999994, 0,0.0
2.9999993, 0,0.0
3.0999992, 0,0.0
3.199999, 0,0.0
3.299999, 0,0.0
3.399999, 0,0.0
3.4999988, 0,0.0
3.5999987, 0,0.0
3.6999986, 0,0.0
3.7999985, 0,0.0
3.8999984, 0,0.0
3.9999983, 0,0.0
4.0999985, 0,0.0
4.1999984, 0,0.0
4.2999983, 0,0.0
4.399998, 0,0.0
4.499998, 0,0.0
4.599998, 0,0.0
4.699998, 0,0.0
4.799998, 0,0.0
4.8999977, 0,0.0
4.9999976, 0,0.0
5.0999975, 0,0.0
5.1999974, 0,0.0
5.2999973, 0,0.0
5.399997, 0,0.0
5.499997, 0,0.0
5.599997, 0,0.0
5.699997, 0,0.0
5.799997, 0,0.0
5.8999968, 0,0.0
5.9999967, 0,0.0
6.0999966, 0,0.0
6.1999965, 0,0.0
6.2999964, 0,0.0
6.3999963, 0,0.0
6.499996, 0,0.0
6.599996, 0,0.0
6.699996, 0,0.0
6.799996, 0,0.0
6.899996, 0,0.0
6.9999957, 0,0.0
7.0999956, 0,0.0
7.1999955, 0,0.0
7.2999954, 0,0.0
7.3999953, 0,0.0
7.499995, 0,0.0
7.599995, 0,0.0
7.699995, 0,0.0
7.799995, 0,0.0
7.899995, 0,0.0
7.9999948, 0,0.0
8.099995, 0,0.0
8.199995, 0,0.0
8.299995, 0,0.0
8.399996, 0,0.0
8.499996, 0,0.0
8.599997, 0,0.0
8.699997, 0,0.0
8.799997, 0,0.0
8.899998, 0,0.0
8.999998, 0,0.0
9.099998, 0,0.0
9.199999, 0,0.0
9.299999, 0,0.0
9.4, 0,0.0
9.5, 0,0.0
9.6, 0,0.0
9.700001, 0,0.0
9.800001, 0,0.0
9.900002, 0,1.0
10.000002, 0,0.0
10.100002, 0,0.0
10.200003, 0,0.0
10.300003, 0,0.0
10.400003, 0,0.0
10.500004, 0,0.0
10.600004, 0,0.0
10.700005, 0,0.0
10.800005, 0,0.0
10.900005, 0,0.0
11.000006, 0,0.0
11.100006, 0,0.0
11.2000065, 0,0.0
11.300007, 0,0.0
11.400007, 0,0.0
11.500008, 0,0.0
11.600008, 0,0.0
11.700008, 0,0.0
11.800009, 0,0.0
11.900009, 0,0.0
12.00001, 0,0.0
12.10001, 0,0.0
12.20001, 0,0.0
12.300011, 0,0.0
12.400011, 0,0.0
12.500011, 0,0.0
12.600012, 0,0.0
12.700012, 0,0.0
12.800013, 0,0.0
12.900013, 0,0.0
13.000013, 0,0.0
13.100014, 0,0.0
13.200014, 0,0.0
13.3000145, 0,0.0
13.400015, 0,0.0
13.500015, 0,0.0
13.600016, 0,0.0
13.700016, 0,0.0
13.800016, 0,0.0
13.900017, 0,0.0
14.000017, 0,0.0
14.100018, 0,0.0
14.200018, 0,0.0
14.300018, 0,0.0
14.400019, 0,0.0
14.500019, 0,0.0
14.600019, 0,0.0
14.70002, 0,0.0
14.80002, 0,0.0
14.900021, 0,0.0
15.000021, 0,0.0
15.100021, 0,0.0
15.200022, 0,0.0
15.300022, 0,0.0
15.4000225, 0,0.0
15.500023, 0,0.0
15.600023, 0,0.0
15.700024, 0,0.0
15.800024, 0,0.0
15.900024, 0,0.0
16.000025, 0,0.0
16.100025, 0,0.0
16.200026, 0,0.0
16.300026, 0,0.0
16.400026, 0,0.0
16.500027, 0,0.0
16.600027, 0,0.0
16.700027, 0,0.0
16.800028, 0,0.0
16.900028, 0,0.0
17.000029, 0,0.0
17.100029, 0,0.0
17.20003, 0,0.0
17.30003, 0,0.0
17.40003, 0,0.0
17.50003, 0,0.0
17.60003, 0,0.0
17.700031, 0,0.0
17.800032, 0,0.0
17.900032, 0,0.0
18.000032, 0,0.0
18.100033, 0,0.0
18.200033, 0,0.0
18.300034, 0,0.0
18.400034, 0,0.0
18.500034, 0,0.0
18.600035, 0,0.0
18.700035, 0,0.0
18.800035, 0,0.0
18.900036, 0,0.0
19.000036, 0,0.0
19.100037, 0,0.0
19.200037, 0,0.0
19.300037, 0,0.0
19.400038, 0,0.0
19.500038, 0,0.0
19.600039, 0,0.0
19.700039, 0,0.0
19.80004, 0,0.0
19.90004, 0,0.0
20.00004, 0,0.0
20.10004, 0,0.0
20.20004, 0,0.0
20.300041, 0,0.0
20.400042, 0,0.0
20.500042, 0,0.0
20.600042, 0,0.0
20.700043, 0,0.0
20.800043, 0,0.0
20.900043, 0,0.0
21.000044, 0,0.0
21.100044, 0,0.0
21.200045, 0,0.0
21.300045, 0,0.0
21.400045, 0,0.0
21.500046, 0,0.0
