t, n, Tsim
0.05, 550,20.0
0.1, 550,7.0
0.15, 550,6.0
0.2, 550,3.0
0.25, 550,4.0
0.3, 550,4.0
0.35000002, 550,2.0
0.40000004, 550,4.0
0.45000005, 550,4.0
0.50000006, 550,2.0
0.5500001, 550,2.0
0.6000001, 550,2.0
0.6500001, 550,2.0
0.7000001, 550,1.0
0.7500001, 550,2.0
0.80000013, 550,2.0
0.85000014, 550,2.0
0.90000015, 550,1.0
0.95000017, 550,1.0
1.0000001, 550,2.0
1.0500001, 550,2.0
1.1, 550,5.0
1.15, 550,1.0
1.1999999, 550,3.0
1.2499999, 550,2.0
1.2999998, 550,2.0
1.3499998, 550,3.0
1.3999997, 550,1.0
1.4499997, 550,2.0
1.4999996, 550,3.0
1.5499996, 550,2.0
1.5999995, 550,1.0
1.6499995, 550,2.0
1.6999995, 550,2.0
1.7499994, 550,3.0
1.7999994, 550,2.0
1.8499993, 550,1.0
1.8999993, 550,2.0
1.9499992, 550,2.0
1.9999992, 550,3.0
2.0499992, 550,2.0
2.0999992, 550,2.0
2.1499991, 550,1.0
2.199999, 550,1.0
2.249999, 550,1.0
2.299999, 550,2.0
2.349999, 550,2.0
2.399999, 550,1.0
2.4499989, 550,1.0
2.4999988, 550,2.0
2.5499988, 550,2.0
2.5999987, 649,1.0
2.6499987, 649,2.0
2.6999986, 649,2.0
2.7499986, 649,3.0
2.7999985, 649,2.0
2.8499985, 649,5.0
2.8999984, 649,2.0
2.9499984, 649,2.0
2.9999983, 649,3.0
3.0499983, 649,2.0
3.0999982, 649,3.0
3.1499982, 649,2.0
3.1999981, 649,2.0
3.249998, 649,2.0
3.299998, 649,2.0
3.349998, 649,2.0
3.399998, 649,3.0
3.449998, 649,2.0
3.4999979, 649,2.0
3.5499978, 649,2.0
3.5999978, 649,2.0
3.6499977, 649,1.0
3.6999977, 649,2.0
3.7499976, 649,2.0
3.7999976, 649,2.0
3.8499975, 649,2.0
3.8999975, 649,1.0
3.9499974, 649,3.0
3.9999974, 649,2.0
4.0499973, 649,1.0
4.0999975, 649,2.0
4.1499977, 649,2.0
4.199998, 649,1.0
4.249998, 649,1.0
4.2999983, 649,2.0
4.3499985, 649,1.0
4.3999987, 649,2.0
4.449999, 649,2.0
4.499999, 649,2.0
4.549999, 649,2.0
4.5999994, 649,2.0
4.6499996, 649,2.0
4.7, 649,1.0
4.75, 649,2.0
4.8, 649,2.0
4.8500004, 649,2.0
4.9000006, 649,2.0
4.950001, 649,1.0
5.000001, 649,2.0
5.050001, 649,2.0
5.1000013, 649,3.0
5.1500015, 649,4.0
5.2000017, 644,8.0
5.250002, 644,2.0
5.300002, 644,3.0
5.3500023, 644,3.0
5.4000025, 644,2.0
5.4500027, 640,3.0
5.500003, 640,2.0
5.550003, 640,3.0
5.6000032, 640,3.0
5.6500034, 640,3.0
5.7000036, 637,3.0
5.750004, 637,2.0
5.800004, 637,3.0
5.850004, 637,2.0
5.9000044, 637,2.0
5.9500046, 635,2.0
6.000005, 635,2.0
6.050005, 635,2.0
6.100005, 635,2.0
6.1500053, 635,2.0
6.2000055, 634,2.0
6.2500057, 634,2.0
6.300006, 634,2.0
6.350006, 634,2.0
6.4000063, 634,2.0
6.4500065, 634,2.0
6.5000067, 634,3.0
6.550007, 634,2.0
6.600007, 634,2.0
6.6500072, 634,2.0
6.7000074, 634,2.0
6.7500076, 634,2.0
6.800008, 634,2.0
6.850008, 634,2.0
6.900008, 634,1.0
6.9500084, 634,2.0
7.0000086, 634,1.0
7.050009, 634,2.0
7.100009, 634,1.0
7.150009, 634,2.0
7.2000093, 634,3.0
7.2500095, 634,2.0
7.3000097, 634,2.0
7.35001, 733,2.0
7.40001, 733,2.0
7.4500103, 733,3.0
7.5000105, 733,3.0
7.5500107, 733,2.0
7.600011, 733,3.0
7.650011, 733,2.0
7.7000113, 733,3.0
7.7500114, 733,3.0
7.8000116, 733,3.0
7.850012, 733,3.0
7.900012, 733,3.0
7.950012, 733,3.0
8.000012, 733,3.0
8.050013, 733,2.0
8.100013, 733,3.0
8.150013, 733,3.0
8.200013, 733,3.0
8.250013, 733,4.0
8.300014, 733,2.0
8.350014, 733,4.0
8.400014, 733,2.0
8.450014, 733,3.0
8.500014, 733,3.0
8.5500145, 733,3.0
8.600015, 733,3.0
8.650015, 733,3.0
8.700015, 733,2.0
8.750015, 733,4.0
8.800015, 733,3.0
8.850016, 733,2.0
8.900016, 733,3.0
8.950016, 733,3.0
9.000016, 733,2.0
9.050016, 733,3.0
9.100017, 733,3.0
9.150017, 733,4.0
9.200017, 733,4.0
9.250017, 733,3.0
9.300017, 733,4.0
9.350018, 733,2.0
9.400018, 733,2.0
9.450018, 733,5.0
9.500018, 733,3.0
9.550018, 733,2.0
9.6000185, 733,2.0
9.650019, 733,3.0
9.700019, 733,3.0
9.750019, 733,5.0
9.800019, 733,2.0
9.850019, 733,2.0
9.90002, 832,2.0
9.95002, 832,3.0
10.00002, 832,3.0
10.05002, 832,2.0
10.10002, 832,3.0
10.150021, 832,3.0
10.200021, 832,4.0
10.250021, 832,3.0
10.300021, 832,3.0
10.350021, 832,2.0
10.400022, 832,2.0
10.450022, 832,3.0
10.500022, 832,3.0
10.550022, 832,3.0
10.600022, 832,3.0
10.6500225, 832,3.0
10.700023, 832,2.0
10.750023, 832,3.0
10.800023, 832,3.0
10.850023, 832,2.0
10.900023, 832,5.0
10.950024, 832,3.0
11.000024, 832,4.0
11.050024, 832,2.0
11.100024, 832,3.0
11.150024, 832,3.0
11.200025, 832,3.0
11.250025, 832,3.0
11.300025, 832,3.0
11.350025, 832,2.0
11.400025, 832,4.0
11.450026, 832,3.0
11.500026, 832,2.0
11.550026, 832,4.0
11.600026, 832,3.0
11.650026, 832,2.0
11.7000265, 832,3.0
11.750027, 832,4.0
11.800027, 832,3.0
11.850027, 832,3.0
11.900027, 832,3.0
11.950027, 832,3.0
12.000028, 832,3.0
12.050028, 832,2.0
12.100028, 832,4.0
12.150028, 832,3.0
12.200028, 832,4.0
12.250029, 832,4.0
12.300029, 832,3.0
12.350029, 832,3.0
12.400029, 832,3.0
12.450029, 832,3.0
12.50003, 832,3.0
12.55003, 832,3.0
12.60003, 832,4.0
12.65003, 832,3.0
12.70003, 832,5.0
12.7500305, 832,3.0
12.800031, 832,3.0
12.850031, 832,3.0
12.900031, 832,3.0
12.950031, 832,3.0
13.000031, 832,3.0
13.050032, 832,3.0
13.100032, 832,3.0
13.150032, 832,2.0
13.200032, 832,4.0
13.250032, 832,3.0
13.300033, 832,3.0
13.350033, 832,2.0
13.400033, 832,3.0
13.450033, 832,4.0
13.500033, 832,3.0
13.550034, 832,3.0
13.600034, 931,4.0
13.650034, 931,4.0
13.700034, 931,4.0
13.750034, 931,3.0
13.8000345, 931,3.0
13.850035, 931,4.0
13.900035, 931,3.0
13.950035, 931,3.0
14.000035, 931,4.0
14.050035, 931,4.0
14.100036, 931,4.0
14.150036, 931,3.0
14.200036, 931,3.0
14.250036, 931,4.0
14.300036, 931,4.0
14.350037, 931,4.0
14.400037, 931,3.0
14.450037, 931,3.0
14.500037, 931,4.0
14.550037, 931,3.0
14.600038, 931,5.0
14.650038, 931,4.0
14.700038, 931,5.0
14.750038, 931,3.0
14.800038, 931,4.0
14.850039, 931,3.0
14.900039, 931,5.0
14.950039, 931,4.0
15.000039, 931,3.0
15.050039, 931,4.0
15.1000395, 931,3.0
15.15004, 931,3.0
15.20004, 931,3.0
15.25004, 931,3.0
15.30004, 931,4.0
15.35004, 931,3.0
15.400041, 931,3.0
15.450041, 931,3.0
15.500041, 931,3.0
15.550041, 931,3.0
15.600041, 931,3.0
15.650042, 931,3.0
15.700042, 931,6.0
15.750042, 931,3.0
15.800042, 931,4.0
15.850042, 931,3.0
15.900043, 931,3.0
15.950043, 931,4.0
16.000042, 931,3.0
16.050041, 931,3.0
16.10004, 931,3.0
16.15004, 931,3.0
16.200039, 931,4.0
16.250038, 931,3.0
16.300037, 931,5.0
16.350037, 931,3.0
16.400036, 931,5.0
16.450035, 931,3.0
16.500034, 931,3.0
16.550034, 931,4.0
16.600033, 931,3.0
16.650032, 931,4.0
16.700031, 931,3.0
16.75003, 931,3.0
16.80003, 931,4.0
16.850029, 931,3.0
16.900028, 931,4.0
16.950027, 931,4.0
17.000027, 931,4.0
17.050026, 931,4.0
17.100025, 931,4.0
17.150024, 931,3.0
17.200024, 931,3.0
17.250023, 931,3.0
17.300022, 931,4.0
17.350021, 931,4.0
17.40002, 931,3.0
17.45002, 931,4.0
17.50002, 931,3.0
17.550018, 931,4.0
17.600018, 931,4.0
17.650017, 931,3.0
17.700016, 931,6.0
17.750015, 931,3.0
17.800014, 931,4.0
17.850014, 931,3.0
17.900013, 931,5.0
17.950012, 931,4.0
18.000011, 931,3.0
18.05001, 931,4.0
18.10001, 931,3.0
18.15001, 931,4.0
18.200008, 931,3.0
18.250008, 931,4.0
18.300007, 931,4.0
18.350006, 931,3.0
18.400005, 931,3.0
18.450005, 931,4.0
18.500004, 931,4.0
18.550003, 931,4.0
18.600002, 931,4.0
18.650002, 931,4.0
18.7, 931,3.0
18.75, 931,4.0
18.8, 931,4.0
18.849998, 931,3.0
18.899998, 931,4.0
18.949997, 931,3.0
18.999996, 931,4.0
19.049995, 931,4.0
19.099995, 931,3.0
19.149994, 931,4.0
19.199993, 931,3.0
19.249992, 931,4.0
19.299992, 931,4.0
19.34999, 931,3.0
19.39999, 931,4.0
19.44999, 931,3.0
19.499989, 931,4.0
19.549988, 931,3.0
19.599987, 931,4.0
19.649986, 931,3.0
19.699986, 931,3.0
19.749985, 931,4.0
19.799984, 931,4.0
19.849983, 931,4.0
19.899982, 931,3.0
19.949982, 931,3.0
19.99998, 931,4.0
20.04998, 931,4.0
20.09998, 931,4.0
20.149979, 931,3.0
20.199978, 931,4.0
20.249977, 931,4.0
20.299976, 931,3.0
20.349976, 931,4.0
20.399975, 931,4.0
20.449974, 931,3.0
20.499973, 931,4.0
20.549973, 931,4.0
20.599972, 931,4.0
20.649971, 931,4.0
20.69997, 931,4.0
20.74997, 931,4.0
20.799969, 931,4.0
20.849968, 931,4.0
20.899967, 931,4.0